Swedish,English 
Ni ljuger ju bara.,You're just lying.
Jag behöver en ny cykel.,I need a new bicycle.
Jag önskar att jag vore ung igen.,I wish I was young again.
Jag är tacksam för din hjälp.,I am grateful to you for your help.
Kan du simma alls?,Can you swim at all?
Vad skrattar du åt?,What are you laughing at?
Du kan inte backa ur.,You can't back out.
Du borde fråga honom om råd.,You ought to ask him for advice.
Han satt i stolen.,He sat in the chair.
Hon hörde honom sjunga.,She heard him sing.
Jag vill komma ut härifrån!,I wanna get out of here!
Som tur är var vädret bra.,"Fortunately, the weather was good."
Det är inte lätt att lösa problemet.,It's not easy to solve the problem.
Vad kallade ni mig?,What did you call me?
Hon sparkade honom.,She kicked him.
Behöver ni hjälp med att bära något?,Do you need help carrying anything?
Stäng dörren när du går.,Close the door when you leave.
Den såg billig ut.,It looked cheap.
Hon undrar hur det se ut där de skulle bo.,He wonders how it would be to live where they are supposed to live.
Han stal plånboken av mig.,He robbed me of my purse.
Hur lyckas du?,How do you manage?
Varför slutar ni inte?,Why don't you quit?
Hon öppnade dörren.,She opened the door.
Hon vann en telefon.,She won a phone.
Ingen kommer att klandra er.,Nobody's going to blame you.
Ingen kommer att beskylla er.,Nobody's going to blame you.
Du borde verkligen sluta röka.,You really should quit smoking.
Han kan inte ens skriva sitt eget namn.,He cannot so much as write his own name.
Han kan inte ens skriva sitt eget namn.,He can't even write his own name.
Hur fungerar det?,How does it work?
Vi drack lite vin.,We drank some wine.
Han betedde sig som ett barn.,He behaved like a child.
Han gick ut en runda med hunden.,He went out for a walk with his dog.
De älskar varandra väldigt mycket.,They love each other deeply.
Hur kan vi tacka dig?,How can we thank you?
Jag föddes och växte upp i landet.,I was born and raised in the country.
Ni borde fråga honom om råd.,You ought to ask him for advice.
Dörren är öppen.,The door is open.
Vad finns där inne?,What's in there?
Det fanns ingen där förutom jag.,There was no one there besides me.
Han älskar tåg.,He loves trains.
Köpte ni en ny bil?,Did you buy a new car?
Jag har en vit katt.,I have a white cat.
Jag undrar om det finns någon mening i att lägga in ordspråk i engelskan?,I wonder if there is any meaning to putting proverbs into English.
Jag är rädd för bussen.,I'm afraid of the bus.
Är ni rädda än?,Are you frightened yet?
Var ligger din skola?,Where is your school?
Hon har gått och lagt sig.,She had gone to bed.
Vad kostar den här radion?,What is the price of this radio?
Jag bestämde mig för att jag inte ville ha mer med Tom att göra.,I decided I didn't want anything more to do with Tom.
Det här vinet är gott.,This wine tastes good.
Jag har lånat två böcker.,I have borrowed two books.
Jag behöver en bättre ordbok.,I need a better dictionary.
Rör dig inte!,Don't move!
Jag vill inte översätta denna mening.,I don't want to translate this sentence.
Behöver du dricka vin?,Do you need to drink wine?
Jag har så mycket arbete så jag stannar en timme till.,I have so much work that I will stay for one more hour.
Man bör läsa många böcker när man är ung.,You should read many books when you are young.
Jag är på mitt kontor.,I'll be in my office.
Hon är sju i London nu.,It is seven in London now.
"Skulle jag kunna få ett glas vin, tack?","May I have a glass of wine, please?"
Han har en vit katt.,He's got a white cat.
Händer detta verkligen?,Is this actually happening?
Du borde äta mer frukt.,You should eat more fruit.
Jag är tacksam för er hjälp.,I am grateful to you for your help.
När pappa kom hem satt jag och tittade på tv.,"When Dad came home, I was watching TV."
Det har gått tre år sedan vi gifte oss.,It's been three years since we got married.
Han behandlar mig som ett barn.,He treats me as a child.
Vänta på din tur.,Wait until your turn comes.
Det låter som om du faktiskt menar det.,It sounds like you actually mean that.
Vill ni att jag skall koka kaffe?,Would you like me to make coffee?
Vad finns i lådan?,What's in the box?
Jag återvände från skolan.,I returned from school.
Jag kanske har lagt den på bordet.,I might have left it on the table.
Han ljuger.,He is lying.
Inget är omöjligt för Gud.,Nothing's impossible for God.
Vill du gå någon annanstans?,Do you want to go someplace else?
"En kopp kaffe, tack.","A cup of coffee, please."
"En kopp kaffe, tack.","One cup of coffee, please."
Hur löser jag det här problemet?,How do I solve this problem?
Vi är män.,We are men.
Det var lätt att hitta hans kontor.,It was easy to find his office.
Jag tror det är dags för mig att dra.,I think it's time for me to split.
Jag vill lära mig svenska.,I want to learn Swedish.
Vem är kapten över detta skepp?,Who's the captain of this ship?
Jag har inga kläder att använda.,I don't have anything to wear.
Jag återvände till huset.,I returned to the house.
Jag har varit i Paris.,I have been in Paris.
Jag kunde inte bry mig mindre.,I couldn't care less.
Han förklarade sin situation för mig.,He explained his position to me.
Jag är inte det minsta orolig.,I am not the least bit worried.
Det är mitt jobb.,It's my job.
Jag tvättade bilen.,I washed the car.
Jag kan inte låta dem fånga mig.,I can't let them catch me.
Hur kan vi tacka er?,How can we thank you?
Ska han dö?,Will he die?
Vi ses vid huset!,See you at the house!
Jag ska precis till att skriva en mening på tyska.,I am about to write a sentence in German.
Behöver ni dricka vin?,Do you need to drink wine?
Man bör alltid tänka innan man talar.,You should always think before you speak.
Hon gillar vin.,She likes wine.
Du litar fullständigt på honom.,You trust him completely.
Där såg han det han hade drömt om.,He saw there what he had dreamed about.
Han är tre år äldre än hon.,He's three years older than she is.
Stäng av den.,Turn it off.
Han förklarade hans situation för mig.,He explained his position to me.
Jag kan inte Svenska.,I don't speak Swedish.
Hur hamnade du här?,How did you end up here?
Vad var problemet?,What was the problem?
Om det bara vore så enkelt.,I only wish it were that simple.
Men hon tyckte om barn och gillade sitt jobb.,But she liked children and she enjoyed her work.
När blir det klart?,When will it be ready?
Jag kan inte låta dem fånga dig.,I can't let them catch you.
Män vet inget om kvinnor.,Men know nothing about women.
Vilken tid passar dig?,What time is good for you?
Hon hjälpte den gamla mannen över vägen.,She helped the old man cross the road.
När kan vi träffas igen?,When can we meet again?
Det är regn på väg.,It's going to rain soon.
Hur skiljer sig din åsikt från hans?,How does your opinion differ from his?
Jag har fått nog av det här.,I'm sick of this.
Jag skulle vilja träffa dig igen nästa vecka.,I'd like to see you again next week.
Var tyst.,You be quiet.
Du får inte backa ur.,You can't back out.
Han är tre år äldre än henne.,He's three years older than her.
Han hittade min cykel.,He found my bike.
Varför kommer du så tidigt?,Why did you come early?
Hon måste vara död.,She must be dead.
Var är era barn?,Where are your kids?
Det är inte en bra idé.,It's not a good idea.
Jag behöver ett jobb.,I need a job.
Jag önskar jag kunde köpa det där huset billigt.,I wish I could buy that house cheap.
Vad hände sen?,What happened next?
Jag klarar inte av att se blod.,I can't stand the sight of blood.
Ta på dig en klänning då.,Why don't you wear a dress?
Ni litar fullständigt på honom.,You trust him completely.
De har ingen annanstans att ta vägen.,They have nowhere else to go.
Han steg på tåget.,He got on the train.
Vi hinner med tåget.,We have enough time to catch the train.
Det finns nästan inget syre i rummet.,There is almost no oxygen in the room.
Var ligger er skola?,Where is your school?
Han lagade en middag för henne.,He cooked dinner for her.
Min far var ett träd.,My father was a tree.
Jag trodde att det var ett skämt.,I thought it was a joke.
Jag gick upp för en timme sen.,I got up an hour ago.
Jag äger två böcker.,I own two books.
En bra mening är bättre än två dåliga.,One good sentence is better than two bad.
Klockan är sju i London nu.,It is seven in London now.
Hur hamnade ni här?,How did you end up here?
Du är gammal nog att förstå.,You're old enough to understand.
Jag är inte säker på att vi kommer kunna få tag på biljetter ikväll.,I'm not certain we can get tickets tonight.
Varför ljuger du?,Why do you lie?
Sluta prata om min familj.,Stop talking about my family.
De började skjuta.,They started firing.
De började skjuta.,They started shooting.
"Han gav oss kläder, och pengar också.","He gave us clothes, and money as well."
Måste jag hålla ett tal?,Do I have to make a speech?
Vem skrev det här brevet?,Who wrote this letter?
Hur är ditt liv som gift?,How's your married life?
Ingen sprang före honom.,No one ran ahead of him.
Tack för ditt svar.,Thanks for your reply.
Han går upp tidigt.,He's getting up early.
Om han ansträngde sig så skulle han lyckas.,"If he tried hard, he would succeed."
Rör er inte!,Nobody moves!
Rör er inte!,Don't move!
Jag vill dricka en kopp te.,I want to drink a cup of tea.
Jag sa att det var ok.,I said it was all right.
Har vi råd med det nu?,Can we afford it now?
Jag skulle vilja byta rum.,I'd like to change my room.
Det där är ett hjärta.,That is a heart.
Hennes dröm är över.,Her dream is over.
Om jag blir rik så kommer jag att köpa den.,"If I get rich, I will buy it."
Jag är sen till arbetet.,I'm late for work.
Hade du kul?,Did you have fun?
"Jag tänker, alltså är jag.","I think, therefore I am."
Du behöver inte vänta till slutet.,You don't have to wait till the end.
Det fanns ingenting i lådan.,There was nothing in the box.
Vem hejar du på?,Who are you rooting for?
Vem dog?,Who died?
Jag byggde ett nytt hus.,I built a new house.
Hur mycket kostade det?,How much did that cost?
Jag önskar att jag hade fler vänner.,I wish I had more friends.
Det ska du ha jävligt klart för dig!,Let's make that much very fucking clear!
Är du lärare eller student?,Are you a teacher or a student?
Jag vill städa huset innan mina föräldrar kommer tillbaka.,I want to clean the house before my parents return.
